Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2019,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,4,8.6,19786,11.6,5,28995,7300.83
2019,Acura,Other Model Type,Sedan,AWD,Other Colour,Black,Gas,Other,4,,9.74,77699,10.3,5,29988,2564.57
2019,Acura,Other Model Type,Sedan,FWD,Black,White,Premium Unleaded,Automatic,2,4,8.6,42727,11.6,5,30841,4386.89
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,9.92,30786,10.1,4,39995,7844.85
2019,Acura,Other Model Type,SUV,AWD,Black,White,Premium Unleaded,Automatic,5,6,10.76,42081,9.3,5,40588,5844.93
2021,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,5,4,9.92,66960,10.1,3,41599,4594.48
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,5,4,10.31,39727,9.7,4,43399,6981.96
2009,Acura,Other Model Type,SUV,AWD,Other Colour,Black,Gas,Automatic,4,6,12.09,195152,8.3,15,10990,133.93
2010,Acura,Other Model Type,SUV,AWD,Beige,Black,Gas,Automatic,4,,11.58,179777,8.6,14,13888,219.54
2011,Acura,Other Model Type,SUV,AWD,Beige,White,Gas,Automatic,4,6,11.58,215416,8.6,13,13999,217.36
2012,Acura,Other Model Type,SUV,AWD,Black,Grey,Gas,Automatic,4,,11.58,205152,8.6,12,13999,260.26
2011,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,11.58,201185,8.6,13,14999,248.58
